experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0048	B21	545914	43	54.5	13.6	31.9	49.4	16.5	34.1	4310	0.57
SS2_15_0048	B22	552926	43	51.9	10.3	37.8	52.1	11.3	36.7	3923	0.54
SS2_15_0048	B23	567494	43	56.1	13.7	30.2	49.0	12.9	38.0	4716	0.59
SS2_15_0048	B24	680203	43	43.6	7.8	48.6	50.9	11.7	37.4	3046	0.49
SS2_15_0048	B3	590826	43	72.8	12.3	14.9	55.8	12.4	31.8	6391	0.68
SS2_15_0048	B4	309045	43	54.8	9.6	35.7	56.1	10.3	33.6	4276	0.57
SS2_15_0048	B5	396257	43	50.6	10.8	38.6	48.6	13.3	38.1	3999	0.54
SS2_15_0048	B6	359836	43	36.0	8.4	55.7	35.9	21.6	42.5	2112	0.39
SS2_15_0048	B7	568078	43	54.0	11.9	34.0	49.7	17.2	33.1	4410	0.55
SS2_15_0048	B8	302317	43	51.4	10.7	37.9	50.6	17.6	31.8	3998	0.55
SS2_15_0048	B9	477979	43	44.4	8.3	47.4	50.1	12.3	37.6	2839	0.46
SS2_15_0048	C1	1841952	43	70.6	11.5	17.9	61.0	7.2	31.8	2794	0.49
SS2_15_0048	C10	495853	43	42.7	8.4	48.9	49.9	19.3	30.8	3094	0.49
SS2_15_0048	C11	680178	43	66.6	17.2	16.2	52.4	12.5	35.1	6668	0.67
SS2_15_0048	C12	623039	43	49.8	9.0	41.2	51.9	12.4	35.7	3635	0.52
SS2_15_0048	C13	725895	43	67.3	10.5	22.2	58.4	9.8	31.8	5466	0.62
SS2_15_0048	C14	546860	43	72.3	14.8	12.9	56.0	11.9	32.1	5858	0.67
SS2_15_0048	C15	588211	43	49.1	9.3	41.6	52.9	11.1	36.0	3187	0.50
SS2_15_0048	C16	725256	43	72.1	12.1	15.8	59.0	11.3	29.7	6295	0.68
SS2_15_0048	C17	473055	43	56.4	12.3	31.3	51.9	14.6	33.6	4420	0.56
SS2_15_0048	C18	682219	43	51.2	12.4	36.4	50.6	11.3	38.1	3916	0.55
SS2_15_0048	C19	756473	43	62.7	13.5	23.9	54.9	13.0	32.1	5398	0.64
SS2_15_0048	C2	424250	43	68.5	13.4	18.1	55.4	13.4	31.2	6080	0.64
SS2_15_0048	C20	552102	43	58.8	17.2	23.9	50.2	13.2	36.6	5092	0.61
SS2_15_0048	C21	597211	43	58.2	10.7	31.1	41.7	28.9	29.4	4788	0.59
SS2_15_0048	C22	671636	43	53.1	9.7	37.2	53.1	11.7	35.3	4035	0.55
SS2_15_0048	C23	631637	43	56.2	12.7	31.0	50.9	11.5	37.6	4287	0.58
SS2_15_0048	C24	739238	43	58.9	14.1	27.0	50.7	15.4	33.9	5095	0.60
SS2_15_0048	C3	620125	43	48.7	11.0	40.3	50.0	16.9	33.1	3901	0.53
SS2_15_0048	C4	205387	43	44.9	10.3	44.8	34.9	34.9	30.2	2737	0.42
SS2_15_0048	C5	489483	43	58.3	15.2	26.6	50.4	14.3	35.3	4841	0.61
SS2_15_0048	C6	527020	43	62.6	12.3	25.0	52.7	15.2	32.1	5322	0.62
SS2_15_0048	C7	705661	43	51.6	11.3	37.1	51.0	11.2	37.8	3939	0.55
SS2_15_0048	C8	471066	43	64.6	12.7	22.7	56.0	10.1	33.9	5310	0.63
SS2_15_0048	C9	624468	43	50.6	9.6	39.8	51.8	11.2	37.0	3587	0.52
SS2_15_0048	D1	600390	43	66.4	13.0	20.6	54.9	13.0	32.2	5147	0.60
SS2_15_0048	D10	559412	43	40.9	12.9	46.2	38.9	16.4	44.7	3530	0.50
SS2_15_0048	D11	633953	43	62.9	11.1	26.0	56.0	9.6	34.4	4508	0.60
SS2_15_0048	D12	703241	43	56.8	13.1	30.1	51.1	11.2	37.7	4568	0.58
SS2_15_0048	D13	699761	43	59.9	14.6	25.5	52.2	13.5	34.3	5417	0.64
SS2_15_0048	D14	525514	43	49.9	8.6	41.5	53.3	12.1	34.7	3565	0.50
SS2_15_0048	D15	323306	43	50.9	10.8	38.3	51.0	11.8	37.2	3706	0.52
SS2_15_0048	D16	729790	43	50.0	9.4	40.6	51.5	13.0	35.5	3420	0.52
SS2_15_0048	D17	432406	43	66.9	12.0	21.1	57.2	12.3	30.5	5847	0.65
SS2_15_0048	D18	420831	43	50.0	10.9	39.2	50.6	11.0	38.4	3955	0.54
SS2_15_0048	D19	707080	43	48.2	10.1	41.7	51.8	10.8	37.4	3842	0.54
SS2_15_0048	D2	531249	43	57.2	13.3	29.4	51.7	14.3	34.1	4567	0.57
SS2_15_0048	D20	350806	43	24.8	5.1	70.1	39.7	14.3	46.0	778	0.30
SS2_15_0048	D21	676473	43	53.3	9.9	36.9	52.3	11.9	35.8	4100	0.55
SS2_15_0048	D22	687527	43	47.1	11.4	41.6	45.1	21.0	33.9	3682	0.52
SS2_15_0048	D23	357986	43	54.3	11.4	34.3	51.3	11.1	37.6	4106	0.55
SS2_15_0048	D24	910003	43	69.9	11.8	18.3	56.4	11.3	32.3	6565	0.66
SS2_15_0048	D3	720925	43	60.3	12.1	27.6	54.2	10.3	35.5	4472	0.58
SS2_15_0048	D4	418813	43	53.6	10.9	35.5	52.5	15.4	32.1	3865	0.53
SS2_15_0048	D5	591207	43	51.9	9.9	38.2	52.5	11.3	36.1	3449	0.51
SS2_15_0048	D6	587853	43	67.6	11.0	21.4	57.1	10.8	32.1	5580	0.63
SS2_15_0048	D7	811161	43	52.0	10.6	37.4	51.9	11.0	37.1	4011	0.55
SS2_15_0048	D8	612131	43	64.6	10.2	25.2	56.8	11.0	32.1	4888	0.61
SS2_15_0048	D9	529726	43	38.3	13.1	48.6	39.3	19.8	40.9	2701	0.47
SS2_15_0048	E1	631738	43	70.2	10.9	18.9	56.2	14.5	29.4	6043	0.66
SS2_15_0048	E10	851281	43	56.9	12.8	30.3	51.4	10.6	38.0	4469	0.56
SS2_15_0048	E11	642996	43	45.6	12.5	41.9	36.2	23.9	39.9	3573	0.50
SS2_15_0048	E12	739485	43	59.5	11.5	29.0	55.0	9.6	35.4	4407	0.57
SS2_15_0048	E13	817603	43	59.2	11.7	29.1	53.6	10.6	35.8	4808	0.57
SS2_15_0048	E14	529661	43	43.2	10.7	46.0	37.8	23.2	39.0	3234	0.48
SS2_15_0048	E15	558878	43	67.9	12.6	19.5	55.8	13.0	31.2	6188	0.66
SS2_15_0048	E16	831015	43	57.0	12.0	31.0	52.2	11.2	36.6	4387	0.57
SS2_15_0048	E17	600367	43	58.5	13.6	27.9	51.5	14.3	34.2	4687	0.58
SS2_15_0048	E18	614222	43	66.5	11.5	22.0	57.9	9.2	32.9	5470	0.63
SS2_15_0048	E19	1009596	43	56.7	11.6	31.6	53.3	10.6	36.0	4264	0.55
SS2_15_0048	E2	369629	43	28.9	11.4	59.7	30.6	29.8	39.6	1079	0.27
SS2_15_0048	E20	339556	43	36.5	13.9	49.6	25.1	36.3	38.6	2956	0.46
SS2_15_0048	E21	595122	43	40.1	7.4	52.6	50.9	11.2	37.9	3302	0.49
SS2_15_0048	E22	710537	43	57.8	13.9	28.4	50.9	11.6	37.5	4888	0.61
SS2_15_0048	E23	727762	43	46.9	9.2	43.9	52.3	10.7	37.1	3379	0.51
SS2_15_0048	E24	809522	43	44.9	9.3	45.9	50.4	11.9	37.8	3155	0.50
SS2_15_0048	E3	820877	43	57.1	10.5	32.4	55.0	10.0	35.0	4215	0.56
SS2_15_0048	E4	115098	43	56.9	12.3	30.8	49.9	18.9	31.2	3741	0.53
SS2_15_0048	E5	422237	43	59.4	14.4	26.1	44.8	22.0	33.2	5567	0.63
SS2_15_0048	E6	506333	43	34.2	7.8	58.0	35.6	22.6	41.8	1861	0.37
SS2_15_0048	E7	865016	43	49.2	11.0	39.9	50.3	11.7	38.0	3896	0.55
SS2_15_0048	E8	533731	43	73.0	13.1	13.8	57.5	11.3	31.2	6319	0.67
SS2_15_0048	E9	883704	43	53.4	10.1	36.5	54.2	10.1	35.7	3915	0.54
SS2_15_0048	F1	355633	43	70.5	11.1	18.4	55.8	15.2	29.0	5940	0.65
SS2_15_0048	F10	833030	43	52.2	10.2	37.7	51.8	11.5	36.7	3476	0.51
SS2_15_0048	F11	751081	43	51.2	9.5	39.3	53.3	10.8	35.9	4023	0.54
SS2_15_0048	F12	687007	43	67.6	12.3	20.1	58.0	9.4	32.6	6026	0.66
SS2_15_0048	F13	764099	43	40.8	11.5	47.7	37.7	19.8	42.5	2932	0.46
SS2_15_0048	F14	553996	43	49.7	15.0	35.3	45.3	12.3	42.4	4194	0.50
SS2_15_0048	F15	449008	43	58.3	12.5	29.2	53.1	10.5	36.4	4823	0.60
SS2_15_0048	F16	678299	43	56.6	11.2	32.2	52.7	15.6	31.7	3988	0.55
SS2_15_0048	F17	429053	43	58.4	10.9	30.7	53.1	11.4	35.6	4269	0.56
SS2_15_0048	F18	511846	43	61.8	13.1	25.1	52.4	10.9	36.7	5109	0.61
SS2_15_0048	F19	800278	43	51.8	13.2	35.0	50.6	11.4	38.0	4568	0.59
SS2_15_0048	F2	502795	43	58.7	12.5	28.8	52.6	11.0	36.4	4140	0.54
SS2_15_0048	F20	540329	43	56.6	12.4	31.0	53.0	13.8	33.2	4572	0.57
SS2_15_0048	F21	752597	43	73.1	12.4	14.4	55.3	11.4	33.3	6338	0.67
SS2_15_0048	F22	876663	43	53.1	10.6	36.3	53.2	10.6	36.2	3836	0.53
SS2_15_0048	F23	664391	43	61.9	11.7	26.5	55.0	14.1	30.9	5045	0.62
SS2_15_0048	F24	776135	43	69.2	12.8	18.0	53.6	12.7	33.8	6648	0.67
SS2_15_0048	F3	790592	43	65.1	15.8	19.1	53.1	9.9	36.9	6189	0.66
SS2_15_0048	F4	530176	43	49.9	10.8	39.3	52.7	16.5	30.9	3600	0.53
SS2_15_0048	F5	695312	43	55.7	10.4	33.9	55.4	14.7	29.9	4055	0.56
SS2_15_0048	F6	301723	43	54.8	11.3	33.9	51.8	11.5	36.7	3709	0.54
SS2_15_0048	F7	845234	43	50.1	10.5	39.4	51.3	11.8	36.9	3769	0.54
SS2_15_0048	F8	364815	43	60.1	14.7	25.2	51.3	13.7	35.0	4888	0.61
SS2_15_0048	F9	830095	43	51.0	10.8	38.1	51.4	10.8	37.8	3733	0.53
SS2_15_0048	G1	833594	43	59.5	11.2	29.4	54.5	15.6	29.9	3814	0.54
SS2_15_0048	G10	986219	43	68.8	11.2	20.0	56.9	9.8	33.3	5342	0.63
SS2_15_0048	G11	984860	43	63.3	15.4	21.3	53.0	10.1	36.9	5651	0.64
SS2_15_0048	G12	769053	43	58.4	11.4	30.2	46.4	19.9	33.8	5057	0.61
SS2_15_0048	G13	861804	43	49.7	10.3	40.0	51.7	10.7	37.6	3643	0.53
SS2_15_0048	G14	498464	43	68.0	11.9	20.1	58.2	9.6	32.2	5739	0.65
SS2_15_0048	G15	453052	43	55.7	12.8	31.4	49.3	12.0	38.7	4076	0.54
SS2_15_0048	G16	872619	43	57.7	12.7	29.6	51.5	12.6	35.9	4562	0.59
SS2_15_0048	G17	535811	43	36.7	6.4	57.0	36.6	26.2	37.2	2547	0.40
SS2_15_0048	G18	635433	43	60.4	14.3	25.3	52.4	10.6	37.0	5024	0.60
SS2_15_0048	G19	850699	43	63.2	10.5	26.3	56.7	10.5	32.8	4993	0.62
SS2_15_0048	G2	506712	43	60.5	11.2	28.3	52.5	14.7	32.8	4690	0.59
SS2_15_0048	G20	500276	43	54.8	11.9	33.3	51.9	15.2	32.9	3921	0.53
SS2_15_0048	G21	762828	43	46.6	12.2	41.2	39.9	19.9	40.2	3562	0.45
SS2_15_0048	G22	959268	43	61.1	10.5	28.4	55.7	11.4	32.9	4780	0.60
SS2_15_0048	G23	818987	43	44.5	8.5	47.1	50.2	12.2	37.6	3149	0.49
SS2_15_0048	G24	917658	43	63.1	18.0	18.8	49.5	13.3	37.2	6347	0.66
SS2_15_0048	G3	980410	43	57.6	15.8	26.6	49.2	12.4	38.4	5857	0.64
SS2_15_0048	G4	568758	43	57.4	11.8	30.8	53.1	11.6	35.3	4057	0.56
SS2_15_0048	G5	394454	43	25.2	29.1	45.8	65.3	4.2	30.5	813	0.27
SS2_15_0048	G6	663094	43	54.8	12.7	32.5	50.6	15.3	34.0	4498	0.57
SS2_15_0048	G7	1103242	43	68.0	13.5	18.5	56.0	9.4	34.6	5692	0.65
SS2_15_0048	G8	519498	43	53.0	10.0	37.0	52.9	11.5	35.6	3629	0.52
SS2_15_0048	G9	1011258	43	47.9	9.7	42.4	50.7	12.2	37.1	3290	0.51
SS2_15_0048	H1	557559	43	41.8	9.7	48.4	41.1	18.6	40.4	2832	0.46
SS2_15_0048	H10	713490	43	66.3	16.4	17.3	53.9	9.5	36.5	6038	0.65
SS2_15_0048	H11	707815	43	52.9	10.8	36.3	53.4	10.7	35.9	3665	0.54
SS2_15_0048	H12	758547	43	66.4	8.9	24.7	54.4	14.8	30.8	4976	0.61
SS2_15_0048	H13	721537	43	46.0	10.5	43.5	45.3	15.8	38.9	3664	0.50
SS2_15_0048	H14	562820	43	57.4	16.7	25.9	49.6	11.5	38.9	5261	0.63
SS2_15_0048	H15	554367	43	47.0	8.4	44.6	53.3	10.8	35.9	2964	0.48
SS2_15_0048	H16	782934	43	62.2	10.9	26.9	56.2	13.2	30.7	4737	0.59
SS2_15_0048	H17	468758	43	17.1	3.4	79.5	30.3	16.5	53.3	579	0.26
SS2_15_0048	H18	739335	43	53.9	11.6	34.6	51.1	11.5	37.4	3967	0.55
SS2_15_0048	H19	804026	43	56.8	6.1	37.0	54.1	16.3	29.6	3413	0.49
SS2_15_0048	H2	665042	43	59.9	12.5	27.6	54.7	10.3	35.1	4764	0.59
SS2_15_0048	H20	618191	43	57.3	11.8	30.9	53.8	10.1	36.1	4700	0.59
SS2_15_0048	H21	824114	43	59.1	13.6	27.3	52.3	13.9	33.7	4827	0.59
SS2_15_0048	H22	862776	43	57.6	12.5	29.9	51.9	11.3	36.8	4192	0.56
SS2_15_0048	H23	923052	43	65.7	11.6	22.7	56.5	9.9	33.6	5173	0.63
SS2_15_0048	H24	794995	43	47.1	10.3	42.7	48.9	11.9	39.1	3391	0.51
SS2_15_0048	H3	869200	43	43.3	10.7	46.0	43.9	16.0	40.1	3139	0.46
SS2_15_0048	H4	544346	43	72.7	12.5	14.8	56.8	13.5	29.7	6252	0.67
SS2_15_0048	H5	636453	43	61.6	17.4	21.0	51.4	13.1	35.6	5429	0.64
SS2_15_0048	H6	650851	43	54.0	12.7	33.3	50.7	15.4	33.9	4004	0.55
SS2_15_0048	H7	927597	43	53.8	15.0	31.3	45.4	14.9	39.7	4340	0.58
SS2_15_0048	H8	493245	43	55.7	11.7	32.6	53.0	10.5	36.5	4090	0.54
SS2_15_0048	H9	835307	43	54.7	10.8	34.5	51.4	11.9	36.7	3562	0.54
SS2_15_0048	I1	509764	43	53.2	9.4	37.4	53.6	11.6	34.8	3648	0.52
SS2_15_0048	I10	685534	43	50.6	11.3	38.2	51.4	11.4	37.3	4043	0.54
SS2_15_0048	I11	747325	43	62.2	11.4	26.4	54.6	11.4	34.0	5184	0.62
SS2_15_0048	I12	716994	43	54.5	10.5	35.0	52.2	12.1	35.7	3927	0.55
SS2_15_0048	I13	684524	43	67.0	11.7	21.3	54.6	15.1	30.3	5889	0.62
SS2_15_0048	I14	595742	43	70.4	12.6	17.0	56.7	12.6	30.7	6117	0.67
SS2_15_0048	I15	444828	43	64.0	10.7	25.3	54.6	16.2	29.2	4741	0.59
SS2_15_0048	I16	654434	43	61.4	13.8	24.8	52.9	14.0	33.1	5373	0.63
SS2_15_0048	I17	424901	43	40.6	8.2	51.2	46.7	23.1	30.3	2647	0.45
SS2_15_0048	I18	552243	43	68.9	14.2	16.9	51.7	16.1	32.2	6430	0.66
SS2_15_0048	I19	642828	43	60.6	14.9	24.5	51.8	13.7	34.5	5707	0.63
SS2_15_0048	I2	455975	43	68.6	12.5	19.0	57.1	13.3	29.6	6211	0.66
SS2_15_0048	I20	421828	43	45.4	8.5	46.1	49.0	14.7	36.3	3233	0.47
SS2_15_0048	I21	470935	43	65.0	11.5	23.5	54.2	15.7	30.0	5551	0.61
SS2_15_0048	I22	584205	43	57.8	14.1	28.1	51.9	10.6	37.6	5581	0.64
SS2_15_0048	I23	542813	43	58.5	14.3	27.2	49.9	15.3	34.7	5080	0.59
SS2_15_0048	I24	416859	43	23.0	3.6	73.5	38.3	13.7	48.0	344	0.26
SS2_15_0048	I3	551462	43	54.1	12.5	33.4	49.6	12.6	37.8	4207	0.56
SS2_15_0048	I4	392090	43	51.0	10.6	38.5	49.8	18.7	31.6	3720	0.51
SS2_15_0048	I5	520669	43	69.6	11.1	19.3	55.0	12.9	32.0	5706	0.64
SS2_15_0048	I6	532523	43	58.8	11.5	29.7	53.0	16.0	31.0	4608	0.59
SS2_15_0048	I7	785464	43	47.8	10.0	42.1	49.2	12.4	38.4	3337	0.51
SS2_15_0048	I8	390826	43	58.8	13.0	28.3	53.0	10.7	36.3	4531	0.59
SS2_15_0048	I9	698329	43	59.0	14.0	27.0	51.9	10.1	37.9	4971	0.61
SS2_15_0048	J1	595630	43	62.8	15.7	21.6	52.9	10.0	37.2	5845	0.65
SS2_15_0048	J10	666924	43	42.7	10.8	46.5	44.6	12.8	42.6	1384	0.38
SS2_15_0048	J11	696122	43	66.3	12.0	21.7	56.2	13.8	30.0	5793	0.65
SS2_15_0048	J12	689786	43	58.8	13.1	28.1	52.8	10.6	36.6	4777	0.60
SS2_15_0048	J13	750821	43	53.9	11.8	34.3	51.6	15.2	33.3	3867	0.55
SS2_15_0048	J14	419380	43	41.5	9.0	49.6	46.7	13.1	40.2	2726	0.46
SS2_15_0048	J15	508072	43	56.4	12.1	31.4	52.6	15.0	32.3	4344	0.57
SS2_15_0048	J16	785186	43	58.6	14.6	26.8	50.1	11.8	38.1	4999	0.60
SS2_15_0048	J17	544316	43	61.1	14.4	24.5	51.2	15.6	33.2	5039	0.63
SS2_15_0048	J18	556238	43	57.8	11.3	30.9	53.0	11.4	35.6	4561	0.58
SS2_15_0048	J19	557444	43	69.0	11.8	19.2	57.4	10.3	32.3	6493	0.68
SS2_15_0048	J2	514822	43	52.7	12.1	35.2	48.0	13.8	38.3	3577	0.52
SS2_15_0048	J20	446226	43	55.4	11.4	33.2	52.2	11.5	36.3	4239	0.56
SS2_15_0048	J21	629996	43	66.7	13.5	19.7	52.6	15.0	32.4	5590	0.64
SS2_15_0048	J22	697231	43	62.2	13.6	24.2	50.6	12.0	37.4	5259	0.62
SS2_15_0048	J23	588891	43	63.9	10.7	25.4	55.9	11.0	33.1	5696	0.63
SS2_15_0048	J24	528038	43	20.1	3.5	76.5	33.5	14.9	51.6	421	0.25
SS2_15_0048	J3	777742	43	58.3	14.0	27.7	50.3	11.7	38.0	4812	0.58
SS2_15_0048	J4	425172	43	48.1	12.3	39.6	46.2	13.0	40.8	3606	0.51
SS2_15_0048	J5	679744	43	68.2	13.3	18.5	55.0	13.2	31.8	5616	0.66
SS2_15_0048	J6	441445	43	58.0	12.3	29.7	51.9	15.9	32.2	4306	0.55
SS2_15_0048	J7	580975	43	35.8	7.9	56.3	37.8	20.0	42.2	2763	0.45
SS2_15_0048	J8	424073	43	65.9	12.7	21.4	55.4	13.0	31.6	5560	0.64
SS2_15_0048	J9	572748	43	49.7	10.9	39.4	50.9	11.5	37.6	4017	0.56
SS2_15_0048	K1	929038	43	53.7	10.2	36.1	54.8	10.4	34.7	3373	0.52
SS2_15_0048	K10	855571	43	39.6	8.1	52.3	42.6	19.1	38.3	2211	0.36
SS2_15_0048	K11	1009430	43	55.8	9.2	35.0	54.6	11.8	33.7	4152	0.56
SS2_15_0048	K12	616677	43	38.0	8.5	53.5	30.2	29.2	40.6	2137	0.38
SS2_15_0048	K13	921849	43	49.6	9.9	40.5	50.4	11.9	37.7	3292	0.52
SS2_15_0048	K14	735078	43	52.1	11.8	36.1	51.1	15.5	33.4	3932	0.55
SS2_15_0048	K15	582590	43	64.8	17.6	17.5	50.8	11.2	38.0	6587	0.67
SS2_15_0048	K16	717819	43	46.4	11.5	42.1	40.3	20.5	39.3	3788	0.51
SS2_15_0048	K17	617172	43	61.1	13.4	25.5	53.1	13.9	33.0	5670	0.64
SS2_15_0048	K18	665953	43	58.1	14.0	27.9	42.7	21.0	36.3	5271	0.60
SS2_15_0048	K19	546606	43	49.0	12.0	39.0	48.5	12.3	39.2	3575	0.53
SS2_15_0048	K2	729833	43	65.0	13.3	21.8	55.2	12.2	32.7	5376	0.59
SS2_15_0048	K20	381264	43	26.3	6.2	67.5	25.0	22.2	52.9	1103	0.22
SS2_15_0048	K21	553592	43	26.9	10.1	63.0	31.7	17.5	50.7	1791	0.39
SS2_15_0048	K22	744239	43	45.1	8.6	46.3	50.9	12.1	36.9	3158	0.50
SS2_15_0048	K23	809739	43	49.1	10.9	40.0	50.4	17.0	32.6	3876	0.53
SS2_15_0048	K24	609373	43	23.3	3.4	73.3	41.2	13.0	45.8	375	0.25
SS2_15_0048	K3	761149	43	47.8	10.4	41.8	49.1	12.7	38.3	3351	0.50
SS2_15_0048	K4	382358	43	48.9	12.7	38.4	39.6	20.6	39.8	3592	0.50
SS2_15_0048	K5	688951	43	66.1	11.5	22.4	56.7	13.3	30.0	5328	0.63
SS2_15_0048	K6	438335	43	41.6	9.4	49.0	47.7	12.4	39.9	2679	0.46
SS2_15_0048	K7	899607	43	67.7	13.8	18.5	55.0	12.7	32.3	6398	0.68
SS2_15_0048	K8	483309	43	53.6	10.3	36.1	53.1	16.0	30.8	3451	0.51
SS2_15_0048	K9	901945	43	54.0	10.2	35.8	53.0	11.9	35.2	4515	0.57
SS2_15_0048	L1	469588	43	66.2	12.1	21.6	55.6	13.3	31.1	5728	0.65
SS2_15_0048	L10	539982	43	55.3	13.7	31.0	49.9	15.5	34.6	4407	0.56
SS2_15_0048	L11	387126	43	67.4	14.1	18.5	54.5	13.1	32.4	5544	0.61
SS2_15_0048	L12	439653	43	50.7	10.9	38.4	50.9	10.8	38.3	3905	0.54
SS2_15_0048	L13	380887	43	34.2	8.2	57.5	36.7	32.1	31.2	2305	0.41
SS2_15_0048	L14	424856	43	53.9	13.0	33.1	52.2	16.6	31.2	4196	0.55
SS2_15_0048	L15	160295	43	61.9	13.0	25.1	53.0	14.9	32.1	4585	0.60
SS2_15_0048	L16	434777	43	43.8	8.8	47.4	48.7	13.5	37.9	3077	0.48
SS2_15_0048	L17	256306	43	50.6	11.5	37.9	50.4	16.6	33.0	3314	0.51
SS2_15_0048	L18	416272	43	52.8	10.8	36.3	51.2	11.8	37.0	3805	0.53
SS2_15_0048	L19	500909	43	32.5	7.3	60.2	43.9	14.5	41.5	3288	0.50
SS2_15_0048	L2	358008	43	42.9	8.8	48.3	49.7	11.6	38.7	2586	0.45
SS2_15_0048	L20	608291	43	65.4	11.9	22.7	59.0	11.4	29.6	4260	0.55
SS2_15_0048	L21	388465	43	46.9	9.2	43.9	50.7	12.3	37.0	3398	0.50
SS2_15_0048	L22	497304	43	54.1	12.2	33.7	50.7	16.4	32.9	4569	0.58
SS2_15_0048	L23	409627	43	55.7	11.7	32.7	51.6	10.7	37.6	3913	0.54
SS2_15_0048	L24	235379	43	19.8	6.0	74.2	26.9	37.2	36.0	288	0.26
SS2_15_0048	L3	488177	43	54.8	12.3	32.9	51.5	14.8	33.6	4257	0.54
SS2_15_0048	L4	334302	43	65.2	11.5	23.2	56.2	14.0	29.8	5257	0.63
SS2_15_0048	L5	408985	43	68.7	13.3	17.9	55.8	12.2	32.0	5851	0.65
SS2_15_0048	L6	309798	43	42.3	9.9	47.8	46.1	12.5	41.3	2550	0.46
SS2_15_0048	L7	563754	43	57.9	11.7	30.4	53.7	14.3	32.0	4080	0.56
SS2_15_0048	L8	395077	43	67.4	11.9	20.7	55.5	10.9	33.6	4934	0.62
SS2_15_0048	L9	393356	43	46.7	10.2	43.1	47.9	13.1	39.1	2733	0.46
SS2_15_0048	M1	630284	43	52.9	13.2	33.9	40.6	27.2	32.1	4503	0.55
